Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8.166666666666666;1;1.5;10;1;6;0.9999999999999999
org.apache.commons.cli.ValueTest.testShortNoArgWithOption();5;0;0;4;0.6666666666666666;1;0.5
org.apache.commons.cli.ValueTest.testShortWithArgWithOption();5;0;0;4;0.6666666666666666;1;0.5
org.apache.commons.cli.ValueTest.testShortOptionalArgNoValueWithOption();5;0;0;4;0.6666666666666666;1;0.5
org.apache.commons.cli.ValueTest.testLongOptionalNArgValuesWithOption();5;0;0;4;0.6666666666666666;1;0.5
org.apache.commons.cli.ValueTest.testShortOptionalArgValuesWithOption();8;1;1;7;0.875;3;0.3333333333333333
org.apache.commons.cli.ValueTest.testShortOptionalNArgValuesWithOption();8;1;1;7;0.875;3;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testGetParsedOptionValueWithOption();6;0;0;5;0.5555555555555556;1;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testNullhOption();4;0;0;3;0.3333333333333333;1;0.3333333333333333
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();5.25;0;0;11;1;4;1
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimalFailure(String);5.25;0;0;11;1;4;1
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigIntegerFailure(String);12.375;0;0;23;0.8846153846153846;5;0.23809523809523808
net.objecthunter.exp4j.ExpressionTest.testExpression1();22;1;3;15;0.35714285714285715;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testFactorial();35.333333333333336;1;4.333333333333333;18;0.42857142857142855;1;0.013333333333333334
net.objecthunter.exp4j.ExpressionTest.testClearVariables();20;1;1.5;20;0.47619047619047616;2;0.02666666666666667
net.objecthunter.exp4j.ExpressionValidateTest.testValidateNumber();13;1;1;12;0.2727272727272727;2;0.011235955056179775
net.objecthunter.exp4j.ExpressionValidateTest.testValidateFunctionWithTwoAndThreeArgumentsAndMultipleOperator();52;1;8;19;0.4318181818181818;9;0.05056179775280899
net.objecthunter.exp4j.ExpressionValidateTest.testValidateFunctionWithTwoArgumentsAndOperator();38;1;5;23;0.5227272727272727;13;0.07303370786516854
net.objecthunter.exp4j.ExpressionValidateTest.testValidateFunctionWithTwoArguments();27;1;3;19;0.4318181818181818;9;0.05056179775280899
