Id;TestPath;PathLength;HasLoop;CountLoop;CountnewReqEcCovered;CountReqEcCovered;EdgeCoverage;CountnewReqPpcCovered;CountReqPcCovered;PrimePathCoverage
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,4,5,4,5,4,5,4,5,4,5,4,5,4,7,9;17;1;6;6;6;0.6;3;3;0.5
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,4,5,4,5,4,5,6,9;10;1;2;2;6;0.6;0;2;0.3333333333333333
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,4,5,4,7,9;7;1;1;0;6;0.6;0;2;0.3333333333333333
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,4,5,6,9;6;0;0;0;5;0.5;1;1;0.16666666666666666
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,4,7,9;5;0;0;0;4;0.4;1;1;0.16666666666666666
org.apache.commons.lang3.ObjectUtilsTest.testAllNotNull();8,2,3,9;4;0;0;2;3;0.3;1;1;0.16666666666666666
org.apache.commons.cli.ValueTest.testShortNoArgWithOption();6,2,4,5,7;5;0;0;4;4;0.6666666666666666;1;1;0.5
org.apache.commons.cli.ValueTest.testShortWithArgWithOption();6,2,4,5,7;5;0;0;0;4;0.6666666666666666;0;1;0.5
org.apache.commons.cli.ValueTest.testShortOptionalArgNoValueWithOption();6,2,4,5,7;5;0;0;0;4;0.6666666666666666;0;1;0.5
org.apache.commons.cli.ValueTest.testLongOptionalNArgValuesWithOption();6,2,4,5,7;5;0;0;0;4;0.6666666666666666;0;1;0.5
org.apache.commons.cli.ValueTest.testShortOptionalArgValuesWithOption();7,2,3,4,5,3,6,8;8;1;1;7;7;0.875;3;3;0.3333333333333333
org.apache.commons.cli.ValueTest.testShortOptionalNArgValuesWithOption();7,2,3,4,5,3,6,8;8;1;1;0;7;0.875;0;3;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testGetParsedOptionValueWithOption();8,2,4,5,7,9;6;0;0;5;5;0.5555555555555556;1;1;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testNullhOption();8,2,3,9;4;0;0;2;3;0.3333333333333333;1;1;0.3333333333333333
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();9,2,4,6,8,10;6;0;0;5;5;0.45454545454545453;1;1;0.25
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();9,2,4,6,7,10;6;0;0;2;5;0.45454545454545453;1;1;0.25
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();9,2,4,5,10;5;0;0;2;4;0.36363636363636365;1;1;0.25
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();9,2,3,10;4;0;0;2;3;0.2727272727272727;1;1;0.25
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimalFailure(String);9,2,4,6,8,10;6;0;0;0;5;0.45454545454545453;0;1;0.25
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimalFailure(String);9,2,4,6,7,10;6;0;0;0;5;0.45454545454545453;0;1;0.25
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimalFailure(String);9,2,4,5,10;5;0;0;0;4;0.36363636363636365;0;1;0.25
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimalFailure(String);9,2,3,10;4;0;0;0;3;0.2727272727272727;0;1;0.25
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigIntegerFailure(String);21,2,4,5,6,7,8,9,10,13,16,17,18,19,20,22;16;0;0;15;15;0.5769230769230769;1;1;0.047619047619047616
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigIntegerFailure(String);21,2,4,5,6,7,10,13,16,17,18,19,20,22;14;0;0;1;13;0.5;1;1;0.047619047619047616
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigIntegerFailure(String);21,2,4,5,6,7,8,9,10,11,12,19,20,22;14;0;0;2;12;0.46153846153846156;0;0;0
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigIntegerFailure(String);21,2,4,5,6,7,8,9,10,13,16,19,20,22;14;0;0;1;13;0.5;1;1;0.047619047619047616
org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigIntegerFailure(String);21,2,4,5,6,7,10,13,14,15,19,20,22;13;0;0;2;11;0.4230769230769231;0;0;0
