Id;EdgeCoverage;PrimePathCoverage
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsNullConverter();0.5;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForRequiredArgument();0.5;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForOptionalArgument();0.5;0.5
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForRequiredArgument();1;1
joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForOptionalArgument();1;1
joptsimple.util.DateConverterTest.rejectsNullDateFormatter();0.6;0.5
joptsimple.util.DateConverterTest.shouldConvertValuesToDatesUsingADateFormat();0.6;0.5
joptsimple.util.DateConverterTest.shouldRaiseExceptionThatContainsDatePatternAndValue();0.6;0.5
joptsimple.JVMSystemPropertiesArgumentParsingTest.parsingJVMSystemPropertiesArguments();0.75;0.5
joptsimple.ToStringTest.objectsAndStringRepresentations();0.75;0.5
joptsimple.OptionSetAsMapTest.gives();0.875;0.1111111111111111
joptsimple.HandlingDefaultValuesForOptionArgumentsTest.optionalArgOptionWithDefaultGivesDefaultIfArgNotSpecifiedOnCommandLine();0.4166666666666667;0.16666666666666666
joptsimple.AvailableIfUnlessTest.configureParser();1;0.6
joptsimple.AvailableIfUnlessTest.rejectsOptionNotAlreadyConfigured();1;0.6
joptsimple.AvailableUnlessAnyTest.configureParser();1;0.6
joptsimple.RequiredIfAnyTest.configureParser();1;0.8
joptsimple.RequiredIfTest.configureParser();1;0.6
joptsimple.RequiredIfTest.rejectsOptionNotAlreadyConfigured();1;0.6
